image_path,label,source_folder
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123019.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123021.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123100.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123101.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123108.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123110.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123115.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123117.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123123.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123125.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123130.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123132.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123138.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123139.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123147.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123149.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123252.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123254.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123323.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123326.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123331.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123333.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123342.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123344.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123348.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123350.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123357.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123359.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123404.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123406.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123411.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123413.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123520.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123521.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123526.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123528.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123533.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123535.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123543.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123545.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123551.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123553.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123557.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123559.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123604.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123606.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123614.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123617.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123804.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123806.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123815.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123817.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123825.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123827.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123833.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123836.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123844.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123845.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123850.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123853.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123857.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123859.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123905.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123907.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123942.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123944.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123949.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123951.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_123959.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124001.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124007.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124009.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124015.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124016.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124023.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124025.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124030.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124032.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124037.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124039.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124122.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124123.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124152.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124153.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124159.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124200.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124205.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124206.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124210.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124212.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124217.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124218.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124224.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124225.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124230.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_124231.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130357.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130358.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130420.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130421.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130434.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130435.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130440.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130441.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130446.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130448.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130454.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130455.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130503.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130505.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130509.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130511.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130643.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130645.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130709.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130710.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130716.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130717.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130721.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130723.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130727.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130728.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130731.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130733.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130737.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130738.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130742.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130744.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130833.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130835.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130847.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_130849.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_131204.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_131206.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_131217.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_131218.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_131318.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_131319.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_131328.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_131329.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_131339.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_131341.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_131346.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_131347.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_131353.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_131355.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_131400.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_131401.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_131405.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_131407.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_131411.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_131413.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_131601.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_131602.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_131616.jpg,chicken,Fresh Chicken
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Chicken/image_20260502_131617.jpg,chicken,Fresh Chicken
